100000 99999
30 178 3
30 422 7
30 426 7
30 768 5
30 2050 2
30 10823 5
30 17523 9
30 26187 1
30 78670 10
31 117 10
31 1579 9
31 2629 4
31 12671 4
31 18086 10
31 44565 10
32 63 3
32 73 2
32 185 3
32 217 1
32 1134 2
32 1226 2
32 38839 7
32 65580 8
33 40 2
33 51 7
33 497 10
33 1213 5
33 1436 4
33 2907 9
33 3659 1
33 13233 10
33 62207 2
33 89836 10
34 98 3
34 130 10
34 410 4
34 1298 4
34 1716 1
34 2287 4
34 12270 10
34 12990 3
34 18567 7
34 29525 4
34 61239 5
35 106 3
35 109 5
35 358 9
35 1895 7
35 3866 4
35 3899 6
35 4316 5
35 5381 10
35 5605 3
35 16460 9
35 49971 4
36 84 10
36 148 2
36 315 8
36 351 6
36 571 4
36 3038 10
36 3702 8
36 4964 5
36 11531 6
36 30834 3
37 45 1
37 136 4
37 511 5
37 1731 10
37 3635 6
37 5721 6
37 5888 6
37 10453 3
37 12308 7
37 32850 7
37 77481 1
37 88986 3
38 43 5
38 240 8
38 294 2
38 1397 7
38 4455 6
38 4782 6
39 88 5
39 97 9
39 401 3
39 1236 4
39 23910 9
40 56 1
40 64 7
40 559 9
40 8784 2
40 13313 9
41 160 6
41 195 10
41 554 9
41 704 5
41 1681 7
41 11444 10
41 36943 1
41 76463 1
42 68 7
42 103 3
42 376 3
42 1038 2
42 9179 6
42 35214 10
42 36285 8
42 80676 10
43 170 1
43 300 2
43 3275 6
43 9870 5
43 23846 3
43 30984 1
43 52774 6
43 58407 1
43 96994 7
44 46 5
44 57 3
44 4118 5
44 13407 10
44 14535 5
44 22728 6
44 56745 7
45 60 6
45 71 1
45 162 4
45 395 4
45 669 8
45 2627 3
45 2763 5
45 3796 9
45 8962 3
45 30129 4
45 45354 2
45 68529 8
46 62 2
46 69 2
46 347 1
46 1893 7
46 13328 2
46 41508 4
46 87303 10
47 124 2
47 134 2
47 176 4
47 382 1
47 653 3
47 732 6
47 1505 8
47 2857 10
48 328 5
48 375 10
48 471 7
48 726 7
48 1056 4
48 1273 8
48 3642 5
48 14925 6
48 33323 9
49 65 6
49 175 6
49 306 3
49 387 9
49 711 8
49 2086 1
49 8173 5
50 52 9
50 208 2
50 25476 10
50 51470 10
51 89 7
51 266 9
51 2423 6
51 2540 3
51 2872 1
51 3581 5
51 4186 10
51 34187 3
51 80898 5
51 90411 7
52 132 4
52 564 7
52 759 1
52 952 9
52 1068 3
52 3186 3
52 14406 9
53 90 5
53 290 6
53 4991 7
53 6774 2
53 26047 5
54 293 5
54 500 4
55 104 4
55 2079 7
55 5076 2
55 12238 4
55 34629 5
55 55651 8
55 89424 3
56 86 10
56 546 5
56 2744 7
56 3348 4
56 24621 3
57 79 4
57 492 4
57 1672 7
57 1726 10
57 1791 7
57 4927 1
57 25274 3
57 34907 6
58 352 5
58 415 2
58 424 1
58 667 5
58 1690 4
58 4137 2
58 10997 9
58 13299 5
58 20318 9
58 55704 9
58 68811 1
59 572 9
59 1009 9
59 3655 9
59 6043 5
59 17589 1
59 37080 5
59 50161 2
60 264 8
60 6108 4
61 110 9
61 129 5
61 258 8
61 348 7
61 565 3
61 2259 10
61 3393 5
61 3868 4
61 24932 3
61 51535 5
61 63746 2
62 67 5
62 70 7
62 174 2
62 187 10
62 343 7
62 948 3
62 5384 10
62 8029 6
62 17910 9
62 66789 2
63 123 10
63 581 6
63 996 2
63 1700 2
63 4389 9
63 25620 7
63 80402 4
64 137 7
64 713 8
64 19717 10
65 153 2
65 1086 2
65 2796 10
65 21081 2
66 78 10
66 381 10
66 5688 5
66 9143 5
66 26116 1
66 38210 10
67 321 3
67 578 5
67 3845 5
67 16124 5
67 89332 5
68 212 9
68 421 7
68 463 9
68 928 8
68 2918 6
68 6375 10
69 2968 3
69 11507 10
69 76065 6
69 77324 6
70 143 8
70 6349 8
70 6982 4
70 8615 6
70 35487 4
71 2266 1
71 4201 3
71 5446 1
71 62733 6
72 82 4
72 118 5
72 251 1
72 880 8
72 4691 6
72 6832 3
73 116 5
73 122 9
73 242 8
73 442 7
73 14303 9
73 56484 2
73 97515 10
74 816 4
74 3309 2
74 6818 4
74 16361 6
74 27948 3
74 46855 1
75 150 6
75 168 4
75 416 9
75 698 8
75 1294 7
75 1813 1
75 4283 9
75 5220 8
75 6554 1
75 23375 8
75 24312 9
76 230 4
76 271 5
76 366 8
76 2248 3
76 9937 10
76 10316 1
76 17751 5
76 39410 4
76 52029 7
76 56847 5
76 60258 1
76 82101 7
77 265 5
77 274 6
77 361 10
77 367 3
77 519 5
77 2210 6
77 5293 9
77 5813 10
77 10111 1
77 10205 1
77 16877 1
77 18344 4
77 18457 7
77 25095 4
78 796 5
78 2750 4
78 3492 4
78 4023 1
78 64571 10
79 126 4
79 155 6
79 309 9
79 368 7
79 3803 5
79 14565 9
79 34576 7
80 215 7
80 229 1
80 610 7
80 3189 10
80 7781 4
80 94072 9
81 92 1
81 282 6
81 1908 8
81 5517 2
81 8363 3
81 24214 6
81 89494 1
81 95062 2
82 91 2
82 94 2
82 430 10
82 1252 7
82 10496 3
82 36760 3
83 268 5
83 386 6
83 445 8
83 2332 2
83 4435 7
83 6981 10
83 66630 10
84 2864 3
84 4978 3
84 7298 9
84 8792 2
84 16777 6
84 21739 4
84 35753 5
84 73393 6
85 7239 1
85 23525 7
86 259 3
86 1380 4
86 1496 8
86 2893 9
86 47814 5
87 270 10
87 286 10
87 316 3
87 377 10
87 1425 9
87 2162 8
87 11522 7
87 14161 7
87 40313 4
87 99752 7
88 2305 1
88 24353 9
89 1111 1
89 1957 3
89 5629 9
89 7795 10
89 20566 8
89 25173 10
90 218 9
90 9580 9
90 15489 9
90 57004 4
91 112 7
91 182 5
91 224 10
91 555 5
91 931 8
91 4883 5
91 7088 5
91 46914 1
91 95291 8
92 95 10
92 283 8
92 1028 10
92 1492 1
92 1631 4
92 4584 9
92 7737 10
92 13003 8
93 156 8
93 277 2
93 478 10
93 820 5
93 95172 8
94 100 8
94 120 6
94 284 2
94 688 3
94 10048 5
94 10571 10
94 12141 8
94 17677 3
94 61953 4
95 113 3
95 460 9
95 938 3
95 2737 3
95 43475 10
96 101 5
96 677 5
96 2869 3
96 5713 5
96 17659 5
97 108 4
97 172 7
97 1464 9
97 1961 10
97 11566 7
97 12907 1
97 21677 2
97 74544 2
98 177 9
98 5257 9
98 17868 4
98 53176 5
99 191 1
99 545 10
99 1344 10
99 4152 8
99 9816 4
99 12224 4
99 16376 1
99 17962 6
99 22094 5
99 68999 6
100 214 5
100 613 9
100 701 6
100 4519 10
100 6701 10
100 14957 3
100 51092 4
100 79528 7
101 125 5
101 138 3
101 687 1
101 1432 5
101 1525 9
101 2403 6
101 2798 8
101 2895 7
101 8517 9
101 10672 10
101 43808 8
102 378 9
102 58548 6
102 61689 8
102 72974 1
102 81920 2
103 115 5
103 334 7
103 888 10
103 1049 9
103 1940 10
103 4757 4
103 11827 9
103 24303 7
103 61739 5
104 404 7
104 722 10
104 3220 3
104 4231 5
104 13314 1
104 28264 2
104 80104 9
105 355 6
105 637 2
105 1841 4
105 3165 1
105 11896 7
105 14058 1
105 15872 2
105 69103 7
106 995 6
106 13674 10
106 89229 4
107 169 3
107 203 1
107 314 8
107 475 8
107 6481 7
108 795 7
108 875 9
108 1409 2
108 9911 9
108 38862 8
108 44623 7
109 202 7
109 222 1
109 276 5
109 1348 4
109 3268 9
109 5520 8
109 31556 7
109 69332 5
110 433 10
110 666 6
110 4059 9
110 57891 1
111 237 9
111 312 9
111 357 8
111 549 7
111 607 4
111 2004 2
111 59601 6
112 149 10
112 154 4
112 257 6
112 634 5
112 5930 5
112 6002 7
112 13730 3
112 26079 7
113 127 10
113 131 1
113 561 9
113 575 3
113 3000 5
113 6793 7
113 20464 9
114 181 3
114 982 3
114 1113 8
114 1862 6
114 3914 3
114 14172 9
115 211 2
115 256 4
115 263 7
115 340 5
115 342 4
115 1522 8
115 3742 5
115 3757 8
116 135 9
116 435 2
116 1291 2
116 1392 1
116 2514 5
116 2848 6
116 6174 10
116 19323 2
116 23466 5
116 39786 1
116 53432 2
117 128 4
117 244 2
117 252 1
117 1584 1
117 2400 2
117 2898 1
117 4463 4
117 6932 4
117 8660 6
117 46400 9
117 70747 5
117 89537 5
118 428 8
118 589 5
118 863 9
118 878 3
118 2396 10
118 10595 10
119 145 8
119 912 5
119 1057 1
119 22899 5
120 815 8
120 2015 9
120 2632 8
120 4080 6
120 7500 4
120 9754 2
120 11405 2
120 13317 10
120 30356 10
120 57082 10
121 1067 6
121 3311 6
121 77471 6
122 1374 4
122 1568 7
122 1888 7
122 1906 3
122 2208 5
122 2444 5
122 4847 5
122 6523 10
123 142 2
123 341 1
123 1132 7
123 12233 4
123 35244 5
124 180 7
124 190 10
124 317 6
124 359 8
124 388 1
124 700 4
124 10596 5
124 14863 6
125 574 1
125 774 1
125 2437 6
125 2500 5
125 57410 5
126 288 9
126 537 10
126 1207 4
126 1556 3
126 2837 2
126 6006 4
126 6715 4
126 9505 6
126 91724 10
127 457 1
127 934 3
127 2995 6
127 3176 1
127 41222 2
127 45929 10
127 60544 10
127 69892 2
128 199 2
128 254 7
128 335 5
128 798 1
128 1083 7
128 9559 4
128 11273 9
128 40272 1
128 66577 2
129 201 5
129 249 9
129 573 8
129 624 1
129 697 9
129 7496 10
129 7776 10
129 31513 6
130 151 3
130 6184 1
130 13094 7
130 15105 9
130 27443 5
130 89796 6
131 261 3
131 517 8
131 544 9
131 993 7
131 1355 1
131 2509 1
131 3820 1
131 6302 10
131 8576 6
131 26930 8
131 40056 7
131 86321 9
131 90283 9
132 299 8
132 604 9
132 773 5
132 781 2
132 1377 6
132 1624 5
132 1795 10
132 15477 4
132 68746 3
133 243 8
133 262 7
133 333 3
133 705 5
133 1301 5
133 1458 9
134 3011 9
134 12808 4
134 13904 8
134 21925 9
134 54841 7
134 63822 6
134 68016 5
135 236 10
135 301 5
135 576 6
135 9208 4
135 18490 3
135 66829 3
135 94974 2
136 235 9
136 9688 2
136 9981 4
136 18924 4
136 62188 1
136 69264 7
137 1188 9
137 36265 5
137 50258 4
137 57017 6
138 953 10
138 3356 4
138 3953 1
138 11983 6
138 12478 4
138 93598 8
139 318 9
139 1052 3
139 1593 1
139 1722 2
139 2379 10
139 3408 3
139 3618 10
139 3851 6
139 27696 10
139 30118 8
139 38430 5
139 54805 2
140 418 3
140 862 5
140 1339 4
140 27085 1
141 163 10
141 166 1
141 241 8
141 28525 3
141 44868 4
141 48048 1
141 74463 4
142 159 6
142 438 4
142 464 8
142 1445 1
142 3320 9
142 17140 6
142 18338 10
143 239 5
143 625 7
143 972 1
143 3118 4
143 46698 7
144 278 1
144 1421 3
144 1806 10
144 8556 3
144 86995 8
145 2904 10
145 2982 9
145 7213 4
145 7624 1
145 67910 7
146 194 2
146 1393 2
146 7069 5
146 7151 8
146 9727 5
146 77229 2
146 97922 1
147 216 8
147 246 6
147 267 9
147 535 10
147 729 1
147 17452 1
147 21308 10
147 93176 1
148 232 6
148 349 3
148 482 2
148 893 5
148 3199 4
148 5236 10
148 5402 5
148 12261 4
149 161 1
149 165 5
149 279 10
149 550 1
149 5313 2
149 6979 3
149 7394 6
149 10699 4
149 25684 8
149 47816 6
150 17812 3
150 92110 3
151 941 2
151 1177 2
151 2875 10
151 3835 2
151 4732 3
151 47164 4
151 59199 7
151 84116 10
152 197 4
152 1001 2
152 30413 1
152 37841 10
153 171 7
153 233 9
153 289 6
153 719 2
153 794 8
153 883 7
153 1230 7
153 9827 6
153 18673 2
153 28202 8
153 54159 6
153 86257 6
154 13012 6
154 26889 2
154 65609 3
154 89619 1
155 188 1
155 196 10
155 910 7
155 1330 1
155 7190 1
155 12942 7
155 16536 4
155 51984 1
156 167 3
156 198 5
156 2240 10
156 2831 9
156 6251 4
156 6781 10
156 19863 5
157 275 4
157 327 4
157 510 5
157 2983 9
157 5398 8
157 8991 8
157 12543 10
157 65785 9
158 173 6
158 4568 9
158 7012 9
158 29343 1
158 31209 6
158 52316 2
158 56441 5
158 86262 6
159 788 3
159 857 8
159 2274 5
159 4380 8
159 28271 5
159 37914 2
159 46509 7
159 89735 10
160 1346 4
160 12130 1
161 919 2
161 1993 7
161 7910 10
161 11160 10
162 330 9
162 332 2
162 419 4
162 527 8
162 569 7
162 596 2
162 3207 9
162 3232 9
162 11089 5
162 23494 9
162 31250 5
162 39311 10
163 184 2
163 417 6
163 543 9
163 710 5
163 1447 8
163 1939 4
163 2460 7
163 2689 2
163 4159 1
163 13015 5
163 29553 2
164 612 1
164 5062 4
164 5539 8
164 8466 8
164 10041 5
164 21887 3
164 49910 4
165 206 2
165 223 2
165 322 8
165 1534 1
165 1759 2
165 2532 6
165 8114 8
165 9406 5
165 32978 10
166 26306 2
166 37722 2
166 57484 7
167 431 5
167 582 7
167 1059 3
167 1766 8
167 3863 2
167 7063 4
167 8793 5
167 18081 9
167 77508 2
168 1675 6
168 3884 6
168 5036 2
168 17491 9
168 19699 7
168 55400 7
169 2195 2
169 3062 9
169 24336 7
170 570 4
170 690 1
170 894 7
170 1126 3
170 1861 3
170 9552 1
170 13288 7
170 28065 4
171 1739 4
171 1829 8
171 5125 5
171 5366 7
171 7903 6
171 31397 2
172 324 10
172 553 9
172 1434 6
172 1521 4
172 1654 5
172 2631 3
172 4175 6
172 12264 4
173 304 1
173 859 7
173 2019 5
173 2457 9
173 2641 10
173 3649 5
173 3921 5
173 6133 10
173 66347 3
173 86683 2
174 765 7
174 1884 5
174 23995 4
174 54063 2
175 391 4
175 761 10
175 865 3
175 2555 6
175 2902 9
175 3448 9
176 1673 8
176 1784 9
176 1988 5
176 2806 5
176 2916 2
176 55128 8
177 1563 1
177 95317 9
178 183 8
178 209 9
178 802 5
178 5211 6
178 5893 6
178 8389 10
178 10030 10
178 16983 9
178 37208 7
179 205 6
179 2987 2
179 5317 2
179 11420 3
179 13110 5
179 19086 7
179 32762 10
180 472 1
180 1082 10
180 1609 3
180 5045 10
180 10159 7
180 13955 1
180 18895 3
180 31253 4
180 39803 9
181 408 9
181 529 6
181 631 5
181 737 1
181 1023 2
181 2755 3
181 2820 4
181 14118 4
181 21689 6
181 45939 9
182 228 7
182 486 7
182 611 4
182 1644 4
182 3468 4
182 6151 9
182 8386 1
182 11881 9
182 43857 7
183 308 1
183 977 3
183 2471 8
183 3307 4
183 13675 9
183 19983 5
183 57360 9
183 80437 3
184 225 1
184 311 7
184 766 7
184 3537 6
184 5465 4
184 13108 2
184 50942 9
184 78506 5
184 96434 2
185 336 6
185 758 7
185 9957 3
185 23662 2
185 58756 5
186 456 5
186 892 6
186 992 3
186 79459 9
187 296 7
187 1075 4
187 1960 9
188 449 8
188 1402 5
188 22849 8
188 23702 9
188 39455 8
188 78923 6
189 365 1
189 489 6
189 3109 3
189 16686 9
189 18670 8
189 19773 10
189 26876 4
190 310 1
190 579 9
190 695 8
190 1966 8
190 11261 1
191 292 8
191 538 2
191 767 8
191 1719 2
191 2981 7
191 6315 5
191 8937 1
191 32700 9
192 207 7
192 7726 9
193 307 6
193 918 7
193 1426 3
193 3388 10
193 8352 3
193 9130 6
193 13224 9
193 29796 8
193 34823 1
193 47038 9
194 385 3
194 686 2
194 1315 6
194 2215 4
194 4586 4
194 20743 7
194 31664 2
194 31750 7
195 1336 2
195 1979 1
195 5914 8
195 59593 7
196 25334 10
196 41939 8
196 92310 8
197 372 4
197 764 3
197 1160 4
197 1968 2
197 6304 9
197 8971 9
197 9946 10
197 13349 10
197 17726 4
197 19353 9
197 32954 2
197 34405 8
197 40853 6
197 41687 10
197 89815 5
198 2395 7
198 8633 4
198 9699 1
198 12269 9
198 32994 6
198 45326 4
198 54538 3
198 75252 3
199 1656 4
199 1798 5
199 3498 10
199 42640 7
200 444 10
200 1060 6
200 7479 6
200 8436 7
200 17626 9
200 19633 7
200 36527 8
200 48972 7
200 57646 7
201 219 1
201 227 3
201 716 9
201 753 9
201 1634 3
201 2143 1
201 8588 8
201 15409 7
201 58742 8
202 344 9
202 724 5
202 1008 9
202 3197 10
202 3778 10
202 4649 3
202 5015 3
202 27683 3
202 32869 7
203 547 3
203 776 1
203 782 1
203 2301 5
203 19874 10
204 1367 5
204 17374 8
204 27466 2
204 59500 3
205 676 2
205 756 3
205 1078 7
205 1146 2
205 1183 7
205 5625 7
205 19771 4
205 41751 10
206 280 10
206 594 10
206 844 3
206 1677 4
206 19721 8
206 28496 5
206 44678 5
206 51432 10
207 991 7
207 1765 1
207 58594 7
208 210 1
208 302 2
208 899 8
208 1032 8
208 1423 10
208 2839 3
208 4972 7
208 5853 3
208 6284 10
208 11271 4
208 18685 6
209 250 4
209 272 7
209 285 3
209 469 6
209 6803 10
209 7110 8
210 363 6
210 614 4
210 646 1
210 1114 5
210 3696 6
210 4922 10
210 5458 8
210 36526 1
210 57226 5
210 85489 3
211 213 9
211 441 10
211 1641 2
211 6125 8
211 10726 1
211 12371 9
211 58627 9
211 92561 9
212 1395 6
212 1399 2
212 1796 8
212 10078 5
213 496 4
213 2852 10
213 25385 2
213 42951 3
213 93140 8
214 1089 3
214 1206 4
214 8406 2
214 23617 10
215 427 9
215 885 6
215 1555 3
215 9890 6
215 36897 9
216 6602 4
216 17300 2
216 80200 2
217 6681 8
217 31102 3
218 889 2
218 1381 8
218 17628 5
218 76139 6
219 255 10
219 360 8
219 1006 1
219 4257 10
219 6945 10
219 8092 9
219 10057 5
219 10102 7
219 11346 2
219 63177 1
219 69031 10
220 487 7
220 718 2
220 19244 8
220 19684 2
220 20447 2
221 297 3
221 603 2
221 1638 9
221 3843 2
222 414 1
222 1413 2
222 17865 5
222 63795 8
223 841 8
223 1143 9
223 2825 8
223 5037 7
223 8617 3
223 17008 9
223 48796 8
223 92477 3
224 364 10
224 483 2
224 647 9
224 2031 5
224 2787 1
224 3043 10
225 789 7
225 8139 10
225 48673 10
226 513 7
226 897 4
226 930 4
226 1745 10
226 14592 8
226 22284 9
226 45074 10
227 458 10
227 644 9
227 3222 7
227 7325 8
227 31836 1
228 303 4
228 396 9
228 739 4
228 4744 1
228 22121 9
228 43715 3
229 260 2
229 339 1
229 847 3
229 926 7
229 3613 7
229 8661 6
229 9090 8
229 12796 3
230 580 5
230 692 4
230 28949 5
230 29371 6
230 54610 8
231 771 9
231 7192 10
231 20080 9
231 27603 5
231 71437 8
232 1100 9
232 22886 3
233 1081 4
233 1711 6
233 2847 2
233 3363 3
233 6223 2
233 31823 10
233 44087 8
233 45205 6
233 90820 1
234 350 10
234 628 8
234 1389 7
234 3212 4
234 4743 1
234 19784 7
235 3052 5
235 5701 1
235 7292 5
235 20216 6
235 28028 6
236 523 1
236 670 2
236 2388 9
236 5543 5
237 373 4
237 518 2
237 2897 3
237 9717 2
237 16734 10
237 93717 5
238 528 5
238 678 1
238 1485 4
239 248 2
239 501 5
239 648 1
239 5049 9
239 26510 8
239 45977 4
239 50939 1
239 91063 3
240 1091 5
240 10642 4
241 1411 10
241 2637 2
241 6948 10
241 6968 7
241 8339 5
241 18652 3
241 43041 5
241 57529 2
241 80381 4
242 8158 7
242 16781 2
242 24523 8
242 44227 8
243 534 1
243 1703 7
243 3286 6
243 11978 9
243 57565 10
244 1407 3
244 1451 3
244 2064 8
244 19255 1
244 75411 4
245 1717 1
246 4088 1
246 4339 6
246 16573 4
246 38500 3
246 49134 6
246 69979 9
247 1209 5
247 6986 3
247 30853 7
247 68837 9
247 91341 3
248 3601 2
248 9195 2
248 12206 4
248 35598 1
248 65325 1
249 2974 8
249 11283 4
249 17350 10
250 778 8
250 1077 9
250 21764 5
250 38456 4
250 89319 7
251 380 7
251 777 5
251 1043 9
251 1848 4
251 27769 1
251 37136 6
252 499 2
252 2497 3
252 4745 7
253 413 2
253 1181 1
253 1468 2
253 68085 4
253 95428 6
253 99704 6
254 493 1
254 9828 7
254 12327 10
254 48240 2
255 12975 4
255 25826 8
255 42584 7
256 269 10
256 5477 9
256 6533 1
256 89197 5
257 356 10
257 392 3
257 1069 9
257 1295 1
257 67100 6
258 384 7
258 494 1
258 831 3
258 3075 10
258 3710 1
258 4720 4
258 7320 3
258 7437 7
258 13499 7
258 19916 5
259 320 10
259 423 8
259 488 4
259 661 9
259 1793 4
259 11549 9
259 14351 9
259 14651 2
259 19421 2
259 57887 6
259 85464 9
260 599 5
260 738 2
260 7815 3
260 21741 10
260 59938 4
260 67002 2
261 273 6
261 566 5
261 790 5
261 1669 3
261 32939 5
261 37037 2
261 59231 10
261 77742 3
262 586 4
262 650 8
262 1488 6
262 2082 5
262 2833 8
262 9214 7
262 10984 1
262 12214 10
262 13207 1
262 42758 9
262 94019 9
263 31950 6
264 2580 9
264 7306 1
264 8186 9
264 20310 8
265 734 10
265 1768 2
265 2664 6
265 4146 1
265 13100 1
265 21679 10
266 4091 6
266 5051 7
266 13804 6
266 32739 8
266 89855 5
267 467 2
267 733 6
267 2044 9
267 2494 7
267 28520 9
267 30258 2
267 42148 10
267 65937 9
268 4235 10
268 4482 2
268 5154 10
268 5311 2
268 45747 3
269 35607 3
269 78515 3
270 833 8
270 1256 5
270 2512 8
270 2659 8
270 2980 2
270 4245 5
270 8189 9
270 11872 5
270 13443 8
270 50420 10
270 99865 5
271 345 4
271 393 4
271 2900 5
271 3398 1
271 3707 7
271 45822 1
272 605 1
272 706 7
272 803 9
272 3069 9
272 6559 2
272 12674 7
272 27034 5
272 96130 2
273 498 10
273 9944 4
273 13062 4
274 595 6
274 3555 9
274 7939 5
274 59960 1
275 295 8
275 917 3
275 4180 2
275 17879 2
276 319 9
276 531 4
276 620 1
276 822 8
276 2207 4
276 4861 7
276 6483 2
276 39801 9
276 64188 7
276 99726 5
277 325 2
277 539 9
277 867 4
277 1454 5
277 1553 6
277 9806 2
277 13792 1
278 326 1
278 720 2
278 900 9
278 1969 3
278 11108 7
278 34976 7
278 41193 6
278 52935 3
279 371 3
279 447 1
279 755 2
279 5077 6
279 8725 7
279 20431 9
280 291 5
280 397 7
280 674 9
280 21626 9
280 24948 9
281 752 4
281 2578 3
281 4686 10
281 7519 7
281 21053 6
281 44723 1
281 45019 9
281 69355 5
282 923 5
282 1312 5
282 10354 4
282 13591 7
282 40843 4
283 394 1
283 2199 1
283 3273 4
283 11992 10
283 38632 2
284 882 4
284 4531 5
284 7126 3
284 65201 1
285 484 10
285 1109 2
285 4347 5
285 36250 9
285 39501 7
285 63430 6
285 76457 9
286 7253 3
286 32893 4
286 33569 5
286 59011 2
287 313 7
287 429 6
287 1175 8
287 1758 9
287 3959 2
287 5664 7
287 45196 4
288 338 1
288 453 8
288 600 9
288 6169 8
288 15476 1
289 432 6
289 1178 8
289 6146 4
289 9693 5
289 15659 5
289 22924 1
290 814 8
290 1925 9
290 2166 6
290 2351 1
290 3210 2
290 5651 10
290 34521 8
290 82875 7
291 1118 7
291 5103 5
291 10714 1
291 20082 3
292 1198 4
292 1614 4
292 4484 8
292 17197 8
292 19803 3
292 44920 4
293 446 1
293 504 8
293 1428 1
293 1519 2
293 6457 1
293 11289 1
293 13210 8
293 13434 9
293 92751 4
294 886 1
294 6619 8
295 436 5
295 1742 2
295 28400 5
296 828 9
296 2186 9
296 4949 5
296 6759 5
296 7798 3
296 12681 7
296 24773 7
297 632 7
297 703 7
297 895 2
297 1479 2
297 88457 9
298 1053 9
298 1283 5
298 1467 8
298 20777 1
298 21128 4
298 35857 6
298 75397 8
299 1212 2
299 2890 5
299 7309 6
299 23346 2
300 331 9
300 1601 3
300 11264 6
300 92214 8
301 1011 10
301 7487 1
301 32139 8
301 48104 8
301 97061 7
302 353 4
302 1162 2
302 3102 7
302 3137 9
302 15586 4
302 33682 7
303 329 3
303 655 4
303 62020 6
304 7518 4
304 11646 5
304 15120 9
304 27124 1
304 42820 5
304 48485 9
304 70887 5
305 3808 9
305 4556 6
305 6082 4
305 11523 9
305 29004 4
305 33650 4
305 60924 8
306 842 2
306 3565 4
306 7566 8
306 9889 3
306 17276 3
306 26341 7
307 17056 8
307 19877 8
307 21481 2
307 80197 3
308 1249 6
308 1602 6
308 5746 1
309 1220 2
309 4313 6
309 23276 5
309 29889 3
310 2594 4
310 26269 1
310 53358 4
311 1674 5
311 41032 1
311 88261 6
312 629 7
312 26564 8
