1000 2700
67 146 3
67 173 7
68 165 9
68 184 10
68 102 9
69 186 8
69 181 3
69 190 6
70 181 6
70 154 9
70 178 10
71 143 1
71 107 2
71 191 2
72 129 3
72 150 10
72 143 3
73 115 3
73 158 7
73 101 5
74 150 3
74 173 10
74 182 10
75 121 2
75 131 5
75 174 3
76 119 8
76 189 6
76 200 4
77 153 9
77 198 8
77 160 8
78 138 9
78 180 7
78 196 9
79 141 6
79 119 10
79 171 8
80 178 6
80 114 3
80 139 2
81 169 7
81 109 9
81 143 8
82 198 3
82 143 9
82 127 10
83 130 6
83 117 2
83 153 6
84 141 4
84 151 2
84 150 6
85 122 10
85 131 2
85 158 2
86 175 8
86 142 10
86 162 4
87 180 3
87 110 1
87 126 6
88 125 3
88 165 6
88 102 2
89 116 6
89 155 2
89 105 9
90 164 1
90 160 1
90 181 3
91 123 1
91 164 9
91 189 8
92 182 7
92 199 8
92 108 7
93 131 4
93 184 7
93 144 4
94 181 9
94 149 10
94 144 9
95 193 8
95 141 6
95 190 9
96 129 10
96 131 9
96 117 2
97 121 7
97 160 3
97 156 2
98 195 2
98 168 3
98 155 9
99 175 2
99 163 9
99 108 6
100 156 1
100 133 10
100 155 5
101 219 10
101 207 8
101 288 10
102 278 7
102 276 1
102 279 10
103 234 1
103 278 3
103 287 5
104 258 8
104 216 10
104 251 1
105 241 2
105 216 4
105 287 8
106 230 4
106 227 5
106 248 5
107 255 5
107 218 9
107 241 1
108 280 5
108 217 1
108 291 8
109 274 5
109 258 2
109 248 9
110 270 9
110 232 10
110 211 2
111 262 2
111 228 2
111 282 7
112 280 7
112 213 2
112 269 10
113 267 10
113 229 8
113 245 9
114 261 6
114 276 1
114 300 5
115 297 2
115 235 3
115 285 10
116 259 2
116 217 10
116 203 6
117 206 6
117 258 3
117 245 3
118 216 1
118 237 10
118 210 6
119 222 5
119 277 4
119 256 3
120 273 3
120 249 4
120 259 1
121 254 3
121 223 1
121 242 2
122 261 9
122 292 10
122 211 9
123 238 7
123 290 1
123 241 5
124 290 1
124 206 4
124 283 1
125 296 7
125 290 1
125 270 3
126 244 3
126 297 5
126 288 4
127 262 4
127 273 1
127 233 3
128 228 5
128 279 7
128 300 9
129 266 4
129 290 10
129 214 10
130 293 10
130 275 1
130 284 8
131 215 4
131 225 2
131 245 9
132 289 10
132 256 10
132 218 9
133 295 6
133 257 1
133 282 4
134 231 10
134 239 3
134 222 4
135 275 9
135 281 6
135 209 7
136 222 1
136 244 7
136 262 3
137 271 8
137 225 3
137 262 1
138 249 3
138 236 9
138 266 8
139 241 7
139 283 8
139 267 9
140 250 1
140 240 4
140 223 8
141 261 4
141 232 4
141 245 10
142 257 5
142 271 10
142 231 8
143 214 9
143 211 5
143 265 9
144 223 8
144 263 7
144 211 6
145 240 9
145 280 1
145 226 2
146 242 5
146 299 9
146 280 7
147 282 4
147 261 5
147 290 3
148 290 9
148 285 6
148 207 7
149 207 2
149 216 9
149 276 5
150 222 5
150 230 7
150 217 1
151 258 10
151 257 3
151 224 10
152 285 1
152 269 8
152 246 8
153 242 10
153 215 9
153 208 9
154 201 1
154 251 2
154 268 7
155 206 10
155 267 2
155 269 7
156 251 5
156 214 6
156 291 8
157 291 10
157 228 5
157 205 3
158 274 1
158 216 8
158 262 8
159 236 10
159 268 2
159 208 6
160 297 1
160 208 8
160 254 7
161 248 6
161 295 5
161 221 5
162 281 1
162 206 1
162 272 10
163 234 10
163 267 3
163 231 8
164 283 10
164 291 10
164 267 7
165 239 10
165 275 5
165 278 9
166 265 5
166 272 9
166 274 9
167 251 2
167 267 9
167 245 8
168 211 8
168 295 8
168 278 2
169 222 9
169 220 3
169 248 10
170 290 8
170 238 3
170 262 1
171 262 8
171 249 3
171 298 7
172 255 2
172 232 1
172 241 5
173 281 4
173 268 6
173 241 1
174 260 9
174 244 5
174 249 1
175 225 10
175 238 9
175 229 4
176 288 4
176 270 4
176 272 2
177 248 4
177 290 6
177 201 4
178 232 10
178 270 4
178 261 3
179 224 1
179 281 6
179 250 6
180 221 6
180 281 7
180 267 10
181 209 1
181 226 7
181 245 8
182 286 1
182 278 4
182 218 6
183 213 6
183 273 6
183 220 8
184 287 6
184 226 4
184 255 7
185 221 9
185 259 9
185 279 8
186 209 2
186 240 6
186 278 5
187 231 6
187 211 7
187 297 1
188 244 5
188 268 1
188 263 4
189 233 7
189 215 4
189 235 6
190 280 1
190 253 5
190 273 4
191 277 4
191 258 4
191 293 2
192 204 5
192 258 9
192 275 8
193 202 4
193 289 2
193 205 9
194 245 9
194 208 8
194 244 2
195 232 1
195 271 1
195 225 2
196 254 10
196 218 8
196 210 5
197 273 7
197 276 7
197 270 1
198 208 3
198 283 7
198 248 2
199 293 2
199 241 2
199 289 1
200 247 5
200 280 2
200 276 10
201 377 10
201 305 6
201 360 2
202 333 5
202 307 6
202 304 6
203 399 2
203 303 10
203 327 3
204 309 6
204 317 3
204 375 4
205 344 7
205 311 7
205 358 8
206 326 2
206 312 5
206 343 6
207 310 1
207 388 7
207 387 4
208 372 6
208 306 7
208 373 2
209 332 6
209 374 4
209 376 8
210 388 8
210 371 6
210 385 1
211 323 7
211 381 2
211 313 10
212 342 6
212 362 2
212 325 3
213 378 6
213 302 3
213 356 1
214 310 7
214 382 2
214 309 9
215 369 1
215 301 5
215 379 3
216 340 1
216 324 10
216 317 2
217 308 7
217 392 9
217 373 6
218 304 9
218 323 1
218 378 8
219 333 8
219 327 3
219 377 10
220 388 4
220 311 4
220 385 9
221 357 1
221 345 2
221 371 6
222 310 3
222 315 2
222 372 5
223 307 6
223 347 9
223 385 4
224 354 8
224 337 5
224 369 8
225 390 2
225 308 9
225 396 1
226 323 2
226 329 9
226 345 8
227 304 8
227 366 8
227 330 8
228 309 1
228 358 9
228 389 1
229 391 1
229 341 8
229 326 6
230 334 9
230 307 3
230 319 4
231 363 9
231 331 8
231 314 5
232 352 4
232 312 10
232 307 3
233 308 5
233 372 6
233 394 4
234 316 7
234 333 7
234 304 6
235 331 5
235 316 8
235 312 6
236 321 2
236 339 1
236 385 4
237 350 6
237 335 2
237 337 9
238 327 3
238 314 5
238 383 6
239 326 7
239 352 5
239 313 4
240 357 8
240 376 9
240 359 8
241 327 4
241 396 1
241 318 10
242 380 1
242 321 3
242 382 10
243 315 6
243 397 2
243 335 6
244 313 6
244 327 8
244 400 7
245 393 10
245 343 7
245 350 3
246 330 6
246 312 2
246 315 10
247 400 3
247 342 9
247 318 6
248 386 4
248 352 9
248 373 10
249 308 5
249 376 3
249 377 8
250 313 2
250 314 8
250 335 7
251 301 5
251 355 9
251 339 9
252 391 1
252 305 10
252 324 6
253 312 1
253 342 6
253 327 6
254 395 7
254 342 8
254 303 5
255 355 10
255 376 3
255 361 8
256 338 5
256 385 6
256 399 4
257 303 10
257 395 10
257 340 9
258 350 5
258 363 9
258 340 6
259 319 6
259 353 7
259 321 7
260 324 4
260 307 1
260 319 4
261 327 8
261 305 10
261 371 3
262 332 6
262 395 10
262 346 7
263 325 10
263 360 10
263 347 2
264 308 3
264 393 4
264 343 2
265 363 6
265 319 6
265 360 2
266 355 1
266 323 3
266 310 6
267 325 7
267 331 5
267 371 5
268 311 7
268 381 8
268 314 7
269 318 1
269 366 2
269 398 2
270 370 4
270 342 8
270 323 10
271 336 2
271 320 6
271 365 10
272 305 8
272 316 8
272 303 2
273 395 3
273 316 5
273 398 6
274 395 1
274 370 6
274 392 7
275 335 8
275 333 2
275 378 10
276 366 7
276 305 4
276 350 2
277 391 7
277 392 3
277 387 2
278 332 6
278 374 3
278 345 3
279 394 9
279 338 6
279 360 10
280 370 6
280 381 10
280 346 2
281 340 7
281 360 3
281 329 3
282 341 8
282 393 7
282 385 9
283 365 3
283 385 9
283 395 8
284 378 6
284 351 10
284 354 9
285 394 10
285 323 4
285 324 2
286 364 9
286 306 8
286 321 1
287 338 1
287 363 6
287 316 1
288 387 1
288 304 6
288 301 8
289 351 4
289 320 1
289 355 3
290 304 4
290 331 10
290 368 8
291 303 8
291 311 5
291 304 1
292 318 2
292 367 3
292 320 10
293 359 4
293 361 6
293 364 1
294 309 2
294 376 2
294 399 1
295 337 2
295 363 7
295 370 1
296 384 3
296 356 9
296 342 7
297 311 4
297 397 7
297 356 1
298 397 10
298 340 1
298 326 10
299 396 6
299 351 1
299 327 9
300 313 8
300 389 9
300 323 9
301 401 5
301 470 10
301 498 6
302 440 4
302 451 4
302 423 3
303 473 10
303 490 10
303 404 9
304 487 7
304 419 2
304 454 8
305 450 1
305 495 1
305 428 7
306 487 4
306 423 1
306 420 6
307 495 6
307 449 8
307 432 3
308 426 6
308 480 8
308 474 3
309 494 8
309 456 9
309 422 3
310 404 3
310 430 5
310 469 1
311 485 4
311 454 4
311 444 1
312 433 8
312 479 2
312 447 1
313 474 8
313 410 1
313 431 9
314 484 6
314 415 9
314 457 7
315 473 3
315 445 5
315 426 8
316 478 6
316 443 4
316 452 6
317 466 6
317 493 9
317 437 3
318 468 6
318 490 2
318 443 7
319 445 2
319 414 2
319 482 2
320 499 9
320 435 4
320 420 3
321 500 3
321 430 1
321 429 2
322 473 5
322 466 1
322 478 4
323 441 1
323 424 2
323 415 5
324 403 10
324 419 7
324 484 3
325 446 2
325 443 5
325 438 3
326 497 5
326 423 1
326 405 7
327 453 2
327 422 10
327 473 6
328 434 10
328 492 7
328 457 5
329 417 6
329 454 5
329 451 4
330 441 2
330 412 5
330 420 10
331 455 2
331 430 7
331 496 5
332 424 9
332 437 7
332 463 4
333 477 10
333 443 1
333 449 8
334 413 3
334 470 2
334 429 4
335 403 5
335 428 6
335 417 6
336 491 2
336 463 4
336 406 7
337 425 1
337 476 4
337 403 2
338 433 4
338 473 5
338 486 6
339 417 7
339 442 6
339 431 10
340 401 3
340 420 9
340 452 8
341 426 3
341 407 9
341 482 6
342 457 3
342 418 2
342 404 4
343 466 4
343 414 9
343 405 1
344 489 2
344 405 3
344 451 3
345 416 4
345 465 7
345 410 5
346 442 7
346 474 1
346 420 9
347 435 8
347 436 3
347 421 7
348 489 2
348 487 2
348 422 4
349 408 4
349 444 2
349 487 5
350 459 7
350 494 10
350 433 8
351 466 2
351 492 9
351 495 2
352 415 7
352 436 6
352 444 2
353 481 8
353 436 4
353 405 5
354 471 3
354 403 5
354 489 9
355 481 5
355 476 9
355 412 2
356 457 9
356 466 4
356 500 1
357 426 6
357 473 5
357 433 3
358 446 10
358 481 1
358 465 3
359 485 3
359 482 10
359 413 4
360 411 10
360 498 2
360 491 7
361 403 4
361 448 8
361 425 4
362 437 1
362 453 8
362 418 8
363 408 10
363 459 10
363 440 5
364 444 1
364 440 10
364 456 2
365 446 9
365 433 2
365 496 2
366 421 9
366 476 5
366 419 3
367 416 7
367 437 5
367 401 8
368 412 6
368 410 9
368 447 1
369 469 8
369 424 4
369 457 2
370 418 2
370 428 4
370 452 9
371 422 7
371 405 1
371 425 5
372 471 4
372 413 10
372 414 7
373 415 4
373 457 7
373 437 1
374 412 2
374 459 7
374 469 3
375 480 3
375 444 5
375 427 3
376 404 7
376 479 10
376 498 8
377 440 9
377 452 5
377 499 10
378 470 3
378 426 4
378 413 6
379 475 10
379 476 5
379 497 5
380 421 3
380 459 2
380 415 10
381 428 3
381 429 8
381 448 6
382 412 10
382 489 9
382 474 4
383 429 8
383 449 4
383 422 1
384 475 10
384 435 1
384 421 8
385 498 6
385 405 1
385 447 2
386 487 5
386 492 3
386 463 7
387 453 2
387 458 7
387 492 7
388 458 4
388 500 1
388 444 7
389 404 6
389 474 9
389 490 9
390 418 2
390 461 8
390 405 3
391 461 6
391 411 2
391 497 2
392 412 10
392 487 9
392 408 7
393 481 1
393 471 10
393 494 2
394 450 6
394 452 8
394 475 2
395 448 4
395 420 2
395 417 4
396 494 7
396 421 8
396 491 1
397 411 4
397 406 10
397 409 2
398 428 10
398 455 3
398 474 10
399 413 3
399 475 3
399 445 5
400 425 5
400 458 7
400 452 3
401 524 6
401 537 3
401 535 6
402 532 7
402 573 8
402 509 6
403 575 4
403 598 3
403 594 2
404 584 6
404 527 2
404 559 7
405 545 3
405 504 5
405 567 3
406 526 3
406 598 4
406 549 9
407 540 10
407 569 8
407 551 9
408 595 2
408 519 8
408 536 1
409 522 6
409 563 8
409 600 7
410 521 3
410 527 9
410 552 1
411 518 7
411 511 1
411 576 10
412 593 1
412 519 9
412 598 3
413 541 5
413 529 8
413 507 4
414 513 10
414 592 6
414 530 4
415 547 10
415 592 2
415 540 10
416 507 7
416 505 9
416 515 5
417 575 7
417 550 6
417 579 4
418 558 9
418 533 1
418 571 2
419 599 2
419 588 8
419 534 10
420 572 8
420 557 9
420 552 6
421 549 4
421 557 1
421 528 3
422 526 5
422 519 2
422 567 9
423 536 10
423 582 1
423 527 4
424 540 2
424 525 8
424 593 2
425 574 6
425 567 8
425 546 3
426 521 9
426 562 8
426 577 6
427 513 9
427 582 1
427 516 6
428 520 3
428 596 8
428 524 2
429 503 6
429 519 10
429 599 3
430 561 8
430 567 4
430 514 3
431 584 5
431 507 6
431 555 2
432 534 4
432 529 2
432 505 3
433 525 10
433 539 3
433 589 7
434 553 8
434 510 1
434 518 10
435 525 10
435 530 5
435 589 8
436 563 6
436 595 8
436 512 9
437 569 1
437 556 1
437 584 10
438 509 10
438 529 1
438 505 2
439 540 2
439 565 9
439 564 6
440 560 8
440 551 5
440 588 5
441 554 3
441 536 9
441 522 6
442 572 10
442 566 1
442 567 2
443 573 7
443 538 2
443 556 3
444 574 3
444 530 6
444 548 5
445 540 7
445 590 10
445 594 10
446 567 1
446 586 5
446 516 9
447 522 3
447 589 9
447 587 5
448 547 2
448 502 5
448 522 9
449 586 2
449 557 3
449 568 4
450 573 10
450 563 4
450 586 10
451 531 10
451 582 9
451 541 6
452 551 10
452 541 6
452 506 2
453 536 1
453 517 9
453 600 6
454 529 2
454 560 4
454 551 3
455 534 6
455 543 1
455 566 2
456 531 3
456 597 8
456 530 7
457 578 2
457 581 4
457 554 10
458 588 1
458 589 2
458 542 10
459 502 4
459 548 2
459 553 10
460 502 7
460 600 8
460 530 2
461 571 1
461 523 3
461 535 3
462 592 1
462 522 10
462 501 4
463 587 10
463 535 6
463 511 1
464 588 6
464 594 3
464 568 2
465 579 7
465 549 2
465 523 3
466 585 8
466 582 7
466 515 7
467 565 5
467 513 1
467 559 7
468 548 9
468 588 4
468 508 2
469 541 10
469 513 8
469 524 2
470 592 2
470 538 3
470 577 3
471 592 7
471 519 1
471 598 4
472 513 9
472 508 3
472 528 9
473 554 2
473 594 10
473 570 8
474 555 10
474 531 3
474 529 1
475 591 2
475 527 9
475 526 10
476 532 8
476 513 4
476 531 5
477 584 3
477 572 9
477 549 1
478 540 8
478 530 8
478 591 2
479 531 4
479 533 10
479 571 1
480 504 1
480 578 4
480 558 2
481 534 4
481 562 5
481 505 9
482 537 6
482 584 6
482 564 9
483 533 8
483 551 2
483 555 1
484 551 10
484 533 9
484 567 8
485 531 5
485 591 9
485 503 7
486 536 4
486 526 3
486 543 9
487 532 1
487 575 8
487 540 10
488 564 5
488 543 2
488 514 9
489 533 8
489 542 7
489 557 1
490 589 2
490 556 2
490 525 1
491 591 3
491 569 9
491 580 9
492 542 8
492 506 9
492 569 3
493 530 9
493 590 5
493 587 3
494 572 3
494 583 4
494 549 7
495 540 6
495 518 7
495 568 10
496 533 8
496 558 8
496 556 5
497 548 5
497 563 1
497 527 2
498 509 6
498 524 6
498 534 6
499 564 2
499 506 10
499 589 6
500 529 2
500 523 2
500 554 2
501 634 1
501 626 8
501 682 8
502 655 6
502 608 4
502 609 7
503 638 8
503 627 5
503 653 6
504 612 9
504 656 6
504 655 10
505 644 8
505 700 4
505 678 9
506 628 1
506 601 1
506 645 8
507 683 8
507 611 1
507 607 7
508 695 8
508 647 8
508 691 3
509 620 10
509 602 7
509 639 8
510 671 1
510 636 4
510 623 10
511 621 2
511 632 9
511 681 10
512 699 7
512 673 5
512 687 1
513 681 3
513 672 8
513 639 8
514 683 1
514 656 1
514 612 5
515 626 9
515 633 2
515 601 6
516 692 6
516 677 7
516 625 8
517 644 6
517 609 4
517 626 5
518 692 6
518 662 3
518 606 8
519 681 2
519 607 4
519 674 6
520 700 4
520 609 1
520 696 5
521 613 1
521 671 3
521 603 5
522 674 3
522 659 1
522 623 10
523 655 7
523 640 10
523 628 8
524 678 6
524 673 7
524 643 1
525 624 6
525 613 1
525 615 1
526 648 1
526 692 10
526 651 9
527 698 7
527 678 7
527 696 7
528 660 5
528 619 6
528 698 2
529 647 8
529 605 6
529 699 10
530 625 5
530 676 10
530 669 9
531 669 9
531 666 10
531 601 5
532 694 4
532 650 9
532 655 6
533 602 10
533 607 8
533 623 1
534 641 3
534 644 8
534 693 5
535 653 2
535 651 2
535 620 7
536 667 1
536 642 7
536 649 6
537 651 1
537 667 3
537 637 4
538 603 4
538 668 1
538 660 5
539 633 6
539 700 4
539 666 9
540 629 8
540 641 1
540 677 7
541 624 6
541 628 2
541 687 2
542 624 8
542 677 4
542 630 7
543 620 6
543 690 6
543 684 3
544 621 9
544 697 6
544 672 1
545 658 8
545 665 3
545 611 7
546 648 4
546 690 8
546 699 1
547 647 10
547 605 10
547 615 1
548 625 9
548 692 1
548 694 8
549 611 8
549 670 7
549 629 10
550 602 6
550 660 1
550 668 9
551 626 10
551 612 1
551 657 9
552 663 2
552 623 1
552 681 4
553 631 7
553 632 3
553 610 5
554 619 9
554 627 4
554 663 1
555 683 4
555 697 2
555 691 3
556 700 4
556 616 4
556 690 1
557 601 2
557 697 2
557 662 10
558 633 5
558 637 6
558 656 7
559 698 2
559 670 5
559 697 1
560 626 7
560 697 7
560 650 6
561 651 5
561 679 8
561 604 7
562 643 6
562 679 8
562 629 8
563 646 1
563 691 10
563 617 1
564 611 10
564 692 8
564 650 3
565 612 2
565 611 10
565 602 8
566 676 5
566 620 1
566 699 3
567 671 5
567 633 7
567 672 10
568 677 6
568 674 10
568 665 4
569 608 2
569 669 9
569 650 10
570 652 3
570 662 1
570 674 5
571 695 9
571 684 2
571 697 5
572 611 10
572 691 6
572 623 9
573 675 1
573 655 2
573 636 1
574 618 1
574 631 1
574 625 6
575 698 8
575 611 5
575 684 9
576 603 6
576 690 8
576 673 9
577 631 6
577 682 4
577 612 9
578 695 1
578 625 6
578 611 10
579 685 5
579 645 5
579 660 5
580 644 3
580 653 2
580 634 3
581 626 9
581 682 6
581 680 1
582 630 4
582 601 5
582 682 5
583 668 10
583 672 10
583 639 10
584 624 6
584 681 10
584 693 2
585 686 5
585 623 4
585 639 8
586 647 7
586 658 6
586 686 4
587 665 9
587 619 3
587 637 1
588 650 8
588 673 8
588 683 5
589 621 10
589 689 1
589 637 2
590 685 8
590 610 10
590 635 9
591 620 5
591 651 10
591 603 3
592 633 2
592 639 5
592 691 7
593 622 2
593 693 1
593 637 3
594 685 4
594 681 6
594 631 6
595 661 10
595 610 2
595 670 7
596 613 5
596 621 1
596 662 10
597 691 2
597 661 6
597 684 3
598 606 1
598 682 10
598 628 2
599 627 5
599 645 4
599 610 4
600 628 1
600 683 8
600 679 7
601 789 2
601 715 3
601 782 9
602 775 7
602 735 5
602 795 8
603 797 6
603 786 7
603 787 3
604 799 10
604 792 8
604 790 1
605 730 2
605 724 4
605 746 3
606 800 5
606 705 9
606 719 10
607 733 7
607 701 8
607 732 5
608 760 4
608 743 9
608 785 2
609 714 4
609 730 3
609 788 4
610 712 9
610 764 1
610 791 5
611 712 9
611 780 5
611 705 4
612 762 7
612 768 1
612 734 4
613 716 1
613 757 4
613 800 3
614 769 8
614 727 10
614 784 10
615 763 10
615 725 3
615 739 10
616 734 2
616 782 1
616 736 3
617 750 7
617 716 7
617 792 6
618 774 4
618 757 8
618 787 10
619 712 10
619 709 10
619 772 10
620 790 9
620 711 8
620 764 10
621 721 10
621 771 7
621 742 3
622 740 3
622 799 4
622 729 8
623 712 2
623 763 3
623 718 9
624 781 7
624 788 5
624 723 9
625 703 10
625 706 1
625 730 3
626 728 4
626 781 7
626 769 10
627 705 6
627 709 6
627 737 5
628 783 9
628 740 5
628 777 4
629 750 6
629 727 1
629 796 10
630 709 1
630 800 2
630 735 6
631 737 1
631 800 3
631 733 9
632 760 4
632 745 3
632 725 10
633 796 8
633 702 1
633 715 9
634 744 4
634 721 7
634 758 4
635 732 7
635 718 2
635 724 9
636 774 2
636 800 2
636 746 4
637 701 1
637 757 3
637 704 2
638 729 1
638 778 10
638 782 3
639 760 10
639 755 8
639 800 6
640 708 8
640 751 10
640 764 8
641 798 7
641 714 9
641 707 7
642 780 4
642 715 7
642 711 4
643 788 5
643 705 5
643 713 1
644 780 4
644 712 5
644 775 7
645 738 1
645 743 3
645 713 10
646 748 5
646 776 6
646 751 10
647 758 4
647 703 4
647 787 2
648 797 4
648 716 5
648 747 10
649 759 6
649 730 3
649 798 3
650 763 6
650 724 6
650 737 1
651 772 2
651 713 8
651 723 4
652 800 9
652 770 8
652 731 9
653 750 1
653 719 7
653 799 6
654 749 6
654 741 3
654 709 1
655 759 4
655 745 3
655 744 3
656 784 7
656 748 8
656 779 5
657 739 9
657 716 4
657 740 8
658 771 2
658 789 4
658 734 4
659 750 5
659 758 8
659 712 4
660 720 9
660 731 10
660 762 1
661 728 7
661 800 4
661 754 10
662 786 9
662 732 8
662 762 2
663 705 4
663 773 8
663 715 5
664 798 10
664 756 9
664 735 5
665 758 4
665 785 1
665 771 3
666 717 6
666 762 8
666 763 6
667 773 2
667 756 1
667 743 10
668 749 10
668 793 2
668 756 2
669 793 1
669 785 9
669 756 7
670 754 4
670 737 6
670 709 4
671 747 5
671 710 6
671 722 9
672 735 1
672 749 3
672 756 7
673 760 4
673 752 4
673 757 9
674 774 6
674 787 6
674 702 8
675 779 9
675 745 3
675 795 7
676 764 2
676 761 4
676 733 10
677 731 7
677 721 4
677 763 1
678 735 8
678 742 4
678 785 3
679 713 5
679 701 2
679 771 4
680 789 2
680 778 1
680 791 6
681 720 5
681 765 4
681 706 8
682 793 1
682 716 6
682 787 10
683 797 4
683 767 10
683 768 7
684 723 1
684 730 5
684 761 4
685 768 6
685 797 3
685 712 7
686 704 4
686 785 8
686 771 9
687 775 10
687 726 1
687 740 3
688 718 1
688 763 7
688 732 5
689 733 6
689 754 3
689 714 6
690 759 5
690 788 4
690 798 10
691 788 7
691 703 9
691 792 1
692 756 2
692 738 4
692 746 2
693 717 6
693 718 9
693 759 9
694 702 9
694 777 5
694 709 10
695 716 3
695 800 6
695 773 1
696 741 5
696 789 1
696 792 7
697 766 8
697 706 6
697 754 1
698 717 1
698 793 2
698 782 9
699 716 9
699 706 3
699 759 8
700 780 3
700 734 10
700 784 3
701 860 7
701 874 10
701 864 1
702 888 9
702 886 10
702 829 1
703 858 2
703 850 2
703 827 8
704 856 9
704 882 5
704 850 9
705 888 9
705 860 7
705 856 2
706 882 9
706 835 10
706 818 8
707 813 1
707 860 10
707 861 3
708 856 8
708 818 5
708 849 9
709 869 4
709 838 4
709 864 7
710 855 2
710 853 10
710 872 4
711 818 6
711 840 5
711 833 1
712 826 3
712 851 4
712 853 1
713 806 2
713 871 1
713 827 3
714 810 7
714 819 7
714 893 8
715 845 10
715 855 9
715 888 4
716 813 6
716 894 10
716 871 5
717 885 5
717 820 1
717 891 10
718 840 5
718 848 8
718 814 9
719 841 5
719 828 1
719 830 8
720 808 10
720 885 9
720 856 9
721 826 10
721 834 9
721 878 10
722 847 2
722 807 5
722 825 7
723 864 1
723 805 5
723 872 2
724 875 4
724 895 3
724 878 8
725 825 3
725 822 9
725 816 6
726 867 10
726 855 1
726 807 6
727 886 3
727 807 7
727 873 10
728 896 8
728 845 3
728 837 2
729 849 9
729 802 2
729 870 5
730 845 7
730 808 2
730 894 2
731 874 10
731 839 2
731 871 9
732 809 10
732 867 2
732 851 6
733 898 6
733 822 3
733 819 5
734 899 6
734 855 4
734 869 2
735 848 7
735 808 4
735 884 2
736 840 6
736 839 3
736 858 5
737 888 1
737 900 10
737 866 6
738 843 5
738 886 5
738 844 5
739 847 4
739 881 7
739 804 5
740 856 3
740 832 1
740 820 3
741 834 2
741 839 3
741 846 9
742 885 2
742 888 9
742 819 2
743 871 1
743 815 7
743 820 1
744 856 1
744 858 2
744 879 7
745 833 8
745 890 4
745 810 4
746 881 5
746 847 1
746 894 2
747 845 3
747 848 8
747 818 7
748 802 8
748 878 4
748 846 4
749 839 5
749 825 1
749 868 9
750 810 2
750 841 8
750 818 1
751 829 10
751 872 4
751 809 5
752 855 6
752 841 5
752 899 3
753 806 3
753 824 5
753 891 6
754 810 6
754 819 8
754 882 5
755 888 10
755 830 3
755 825 4
756 882 4
756 892 3
756 848 1
757 851 9
757 883 9
757 845 1
758 878 7
758 816 7
758 848 10
759 889 6
759 826 10
759 836 8
760 863 6
760 819 2
760 859 10
761 877 1
761 806 6
761 824 4
762 832 10
762 898 4
762 878 10
763 841 5
763 836 6
763 830 5
764 813 4
764 830 7
764 806 2
765 870 6
765 828 3
765 838 2
766 889 5
766 836 3
766 851 10
767 807 6
767 821 6
767 833 5
768 835 1
768 874 4
768 861 4
769 821 6
769 866 7
769 898 8
770 893 1
770 896 10
770 858 6
771 822 2
771 821 8
771 854 3
772 829 10
772 869 1
772 867 9
773 872 4
773 826 9
773 851 3
774 842 1
774 843 3
774 888 3
775 842 10
775 900 10
775 829 10
776 857 4
776 834 9
776 888 3
777 898 9
777 871 8
777 892 1
